Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Par Value,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Accrual Date,Effective Date,date_of_pull
1261229 BC LTD 144A,Consumer Non-Cyclical,Fixed Income,"97,819,201.83",0.58,"97,819,201.83","93,969,000.00",68288AAA5,US68288AAA51,-,103.32,United States,-,USD,3.6,9.26,1.0,"Apr 15, 2032",10.0,4.4,-,8.97,3.18,8.97,USD,"Apr 08, 2025","Apr 08, 2025",2026-05-15
ECHOSTAR CORP,Communications,Fixed Income,"74,481,085.36",0.44,"74,481,085.36","65,628,000.00",278768AC0,US278768AC00,-,108.62,United States,-,USD,0.52,7.91,1.0,"Nov 30, 2029",10.75,2.82,-,4.43,0.51,4.43,USD,"Nov 12, 2024","Nov 12, 2024",2026-05-15
QUIKRETE HOLDINGS INC 144A,Capital Goods,Fixed Income,"56,986,789.44",0.34,"56,986,789.44","55,499,000.00",74843PAA8,US74843PAA84,-,101.41,United States,-,USD,3.7,6.08,1.0,"Mar 01, 2032",6.38,4.74,-,5.95,3.3,5.95,USD,"Feb 10, 2025","Feb 10, 2025",2026-05-15
CLOUD SOFTWARE GROUP INC 144A,Technology,Fixed Income,"56,441,583.43",0.33,"56,441,583.43","56,467,000.00",18912UAA0,US18912UAA07,-,98.88,United States,-,USD,2.28,9.39,1.0,"Sep 30, 2029",9.0,2.82,-,9.39,2.82,9.39,USD,"Apr 10, 2023","Apr 10, 2023",2026-05-15
CLOUD SOFTWARE GROUP INC 144A,Technology,Fixed Income,"54,228,914.78",0.32,"54,228,914.78","54,413,000.00",88632QAE3,US88632QAE35,-,98.89,United States,-,USD,2.14,6.93,1.0,"Mar 31, 2029",6.5,2.56,-,6.93,2.56,6.93,USD,"Sep 30, 2022","Sep 30, 2022",2026-05-15
DISH NETWORK CORP 144A,Communications,Fixed Income,"54,064,939.80",0.32,"54,064,939.80","49,644,000.00",25470MAG4,US25470MAG42,-,103.1,United States,-,USD,0.47,9.49,1.0,"Nov 15, 2027",11.75,1.29,-,5.46,0.47,5.46,USD,"Nov 15, 2022","Nov 15, 2022",2026-05-15
HUB INTERNATIONAL LTD 144A,Insurance,Fixed Income,"52,515,862.76",0.31,"52,515,862.76","49,600,000.00",44332PAH4,US44332PAH47,-,102.9,United States,-,USD,1.82,6.43,1.0,"Jun 15, 2030",7.25,3.41,-,5.75,1.87,5.75,USD,"Jun 20, 2023","Jun 20, 2023",2026-05-15
SV RNO PROPERTY OWNER 1 LLC 144A,Technology,Fixed Income,"52,434,330.18",0.31,"52,434,330.18","52,722,000.00",78488XAA2,US78488XAA28,-,98.16,United States,-,USD,3.77,6.32,1.0,"Mar 01, 2031",5.88,4.06,-,6.32,4.06,6.32,USD,"Feb 24, 2026","Feb 24, 2026",2026-05-15
ASURION LLC 144A,Insurance,Fixed Income,"52,388,782.89",0.31,"52,388,782.89","49,008,000.00",045941AA9,US045941AA96,-,103.68,United States,-,USD,4.0,7.28,1.0,"Dec 31, 2032",8.0,4.96,-,7.05,3.73,7.05,USD,"Dec 19, 2025","Dec 19, 2025",2026-05-15
PANTHER ESCROW ISSUER LLC 144A,Insurance,Fixed Income,"52,077,716.87",0.31,"52,077,716.87","50,939,000.00",69867RAA5,US69867RAA59,-,99.31,United States,-,USD,3.43,7.29,1.0,"Jun 01, 2031",7.13,4.06,-,7.29,4.06,7.29,USD,"Apr 08, 2024","Apr 08, 2024",2026-05-15
VENTURE GLOBAL LNG INC 144A,Energy,Fixed Income,"50,492,673.06",0.3,"50,492,673.06","45,192,000.00",92332YAC5,US92332YAC57,-,109.04,United States,-,USD,2.18,5.85,1.0,"Feb 01, 2029",9.5,2.34,-,5.53,2.15,5.53,USD,"Oct 24, 2023","Oct 24, 2023",2026-05-15
ASURION LLC 144A,Insurance,Fixed Income,"48,714,182.55",0.29,"48,714,182.55","49,010,000.00",045941AB7,US045941AB79,-,97.0,United States,-,USD,4.93,8.92,1.0,"Feb 01, 2034",8.38,5.42,-,8.92,5.42,8.92,USD,"Jan 30, 2026","Jan 30, 2026",2026-05-15
EMRLD BORROWER LP 144A,Capital Goods,Fixed Income,"45,009,023.54",0.27,"45,009,023.54","42,905,000.00",29103CAA6,US29103CAA62,-,102.18,United States,-,USD,2.11,6.07,1.0,"Dec 15, 2030",6.63,3.82,-,5.50,1.88,5.50,USD,"May 19, 2023","May 19, 2023",2026-05-15
WULF COMPUTE LLC 144A,Technology,Fixed Income,"44,163,334.61",0.26,"44,163,334.61","41,689,000.00",982911AA7,US982911AA70,-,105.33,United States,-,USD,1.58,5.14,1.0,"Oct 15, 2030",7.75,2.01,-,5.00,1.91,5.00,USD,"Oct 23, 2025","Oct 23, 2025",2026-05-15
1011778 BC UNLIMITED LIABILITY CO 144A,Consumer Cyclical,Fixed Income,"43,329,749.29",0.26,"43,329,749.29","45,658,000.00",68245XAM1,US68245XAM11,-,94.59,Canada,-,USD,3.73,5.39,1.0,"Oct 15, 2030",4.0,3.97,-,5.39,3.97,5.39,USD,"Oct 05, 2020","Oct 05, 2020",2026-05-15
DAVITA INC 144A,Consumer Non-Cyclical,Fixed Income,"43,188,526.87",0.26,"43,188,526.87","43,590,000.00",23918KAS7,US23918KAS78,BMW7NB4,97.0,United States,-,USD,3.47,5.46,1.0,"Jun 01, 2030",4.63,3.56,-,5.46,3.56,5.46,USD,"Jun 09, 2020","Jun 09, 2020",2026-05-15
